Referencia,barcode,nombre,compra,venta,impuesto,categoria,modelo_funda,modelo_celular,color,inventario,Proveedores
case colors_Ip 7 / ip 8_rosa,100,case colors_Ip 7 / ip 8_rosa,,,000,Fundas,case colors,Ip 7 / ip 8,rosa,2,
holster_Ip 7 / ip 8_negro,101,holster_Ip 7 / ip 8_negro,,,000,Fundas,holster,Ip 7 / ip 8,negro,2,
guess_Ip 7 / ip 8_negro,102,guess_Ip 7 / ip 8_negro,,,000,Fundas,guess,Ip 7 / ip 8,negro,2,
calvinklein_Ip 7 / ip 8_negro,103,calvinklein_Ip 7 / ip 8_negro,,,000,Fundas,calvinklein,Ip 7 / ip 8,negro,2,
superstar_Ip 7 / ip 8_rosa,104,superstar_Ip 7 / ip 8_rosa,,,000,Fundas,superstar,Ip 7 / ip 8,rosa,1,
superstar_Ip 7 / ip 8_cafe,105,superstar_Ip 7 / ip 8_cafe,,,000,Fundas,superstar,Ip 7 / ip 8,cafe,1,
otter_Ip 7 / ip 8_morado,106,otter_Ip 7 / ip 8_morado,,,000,Fundas,otter,Ip 7 / ip 8,morado,1,
otter_Ip 7 / ip 8_negro,107,otter_Ip 7 / ip 8_negro,,,000,Fundas,otter,Ip 7 / ip 8,negro,1,
macaron matte_Ip 7 / ip 8_rosa,108,macaron matte_Ip 7 / ip 8_rosa,,,000,Fundas,macaron matte,Ip 7 / ip 8,rosa,1,
macaron matte_Ip 7 / ip 8_negro,109,macaron matte_Ip 7 / ip 8_negro,,,000,Fundas,macaron matte,Ip 7 / ip 8,negro,1,
guess_Ip 7p / ip 8p_blanco,110,guess_Ip 7p / ip 8p_blanco,,,000,Fundas,guess,Ip 7p / ip 8p,blanco,2,
calvinklein_Ip 7p / ip 8p_negro,111,calvinklein_Ip 7p / ip 8p_negro,,,000,Fundas,calvinklein,Ip 7p / ip 8p,negro,1,
otter_Ip 7p / ip 8p_morado,112,otter_Ip 7p / ip 8p_morado,,,000,Fundas,otter,Ip 7p / ip 8p,morado,1,
otter_Ip 7p / ip 8p_rosa,113,otter_Ip 7p / ip 8p_rosa,,,000,Fundas,otter,Ip 7p / ip 8p,rosa,1,
holster_Ip 7p / ip 8p_negro,114,holster_Ip 7p / ip 8p_negro,,,000,Fundas,holster,Ip 7p / ip 8p,negro,2,
superstar_Ip 7p / ip 8p_azul,115,superstar_Ip 7p / ip 8p_azul,,,000,Fundas,superstar,Ip 7p / ip 8p,azul,1,
macaron matte_Ip 7p / ip 8p_rosa,116,macaron matte_Ip 7p / ip 8p_rosa,,,000,Fundas,macaron matte,Ip 7p / ip 8p,rosa,1,
macaron matte_Ip 7p / ip 8p_negro,117,macaron matte_Ip 7p / ip 8p_negro,,,000,Fundas,macaron matte,Ip 7p / ip 8p,negro,1,
holster_ip x / ip xs_negro,118,holster_ip x / ip xs_negro,,,000,Fundas,holster,ip x / ip xs,negro,2,
magsafe transparente_ip x / ip xs_transparente,119,magsafe transparente_ip x / ip xs_transparente,,,000,Fundas,magsafe transparente,ip x / ip xs,transparente,3,
calvinklein_ip x / ip xs_negro,120,calvinklein_ip x / ip xs_negro,,,000,Fundas,calvinklein,ip x / ip xs,negro,2,
guess_ip x / ip xs_blanco,121,guess_ip x / ip xs_blanco,,,000,Fundas,guess,ip x / ip xs,blanco,2,
case colors_ip x / ip xs_rosa,122,case colors_ip x / ip xs_rosa,,,000,Fundas,case colors,ip x / ip xs,rosa,1,
macaron matte_ip x / ip xs_rosa,123,macaron matte_ip x / ip xs_rosa,,,000,Fundas,macaron matte,ip x / ip xs,rosa,1,
macaron matte_ip x / ip xs_negro,124,macaron matte_ip x / ip xs_negro,,,000,Fundas,macaron matte,ip x / ip xs,negro,1,
magnetica_ip x / ip xs_azul,125,magnetica_ip x / ip xs_azul,,,000,Fundas,magnetica,ip x / ip xs,azul,1,
holster_ip xr_negro,126,holster_ip xr_negro,,,000,Fundas,holster,ip xr,negro,2,
magsafe transparente_ip xr_transparente,127,magsafe transparente_ip xr_transparente,,,000,Fundas,magsafe transparente,ip xr,transparente,2,
case colors_ip xr_rosa,128,case colors_ip xr_rosa,,,000,Fundas,case colors,ip xr,rosa,1,
macaron matte_ip xr_rosa,129,macaron matte_ip xr_rosa,,,000,Fundas,macaron matte,ip xr,rosa,1,
calvinklein_ip xr_negro,130,calvinklein_ip xr_negro,,,000,Fundas,calvinklein,ip xr,negro,2,
guess_ip xr_blanco,131,guess_ip xr_blanco,,,000,Fundas,guess,ip xr,blanco,1,
superstar_ip xr_rosa,132,superstar_ip xr_rosa,,,000,Fundas,superstar,ip xr,rosa,1,
superstar_ip xr_cafe,133,superstar_ip xr_cafe,,,000,Fundas,superstar,ip xr,cafe,1,
holster_ip xsmax_negro,134,holster_ip xsmax_negro,,,000,Fundas,holster,ip xsmax,negro,2,
guess_ip xsmax_blanco,135,guess_ip xsmax_blanco,,,000,Fundas,guess,ip xsmax,blanco,1,
magnetica_ip xsmax_transparente,136,magnetica_ip xsmax_transparente,,,000,Fundas,magnetica,ip xsmax,transparente,1,
macaron matte_ip xsmax_negro,137,macaron matte_ip xsmax_negro,,,000,Fundas,macaron matte,ip xsmax,negro,1,
macaron matte_ip xsmax_rosa,138,macaron matte_ip xsmax_rosa,,,000,Fundas,macaron matte,ip xsmax,rosa,1,
calvinklein_ip xsmax_negro,139,calvinklein_ip xsmax_negro,,,000,Fundas,calvinklein,ip xsmax,negro,2,
alto impacto_ip xsmax_negro,140,alto impacto_ip xsmax_negro,,,000,Fundas,alto impacto,ip xsmax,negro,1,
magsafe transparente_Ip 11_transparente,141,magsafe transparente_Ip 11_transparente,,,000,Fundas,magsafe transparente,Ip 11,transparente,2,
otter_Ip 11_rosa,142,otter_Ip 11_rosa,,,000,Fundas,otter,Ip 11,rosa,2,
holster_Ip 11 _negro,143,holster_Ip 11 _negro,,,000,Fundas,holster,Ip 11 ,negro,2,
macaron matte_Ip 11_rosa,144,macaron matte_Ip 11_rosa,,,000,Fundas,macaron matte,Ip 11,rosa,1,
superstar_Ip 11_morado,145,superstar_Ip 11_morado,,,000,Fundas,superstar,Ip 11,morado,1,
superstar_Ip 11_azul,146,superstar_Ip 11_azul,,,000,Fundas,superstar,Ip 11,azul,0,
guess_Ip 11 pro_blanco,147,guess_Ip 11 pro_blanco,,,000,Fundas,guess,Ip 11 pro,blanco,2,
calvinklein_Ip 11 pro_negro,148,calvinklein_Ip 11 pro_negro,,,000,Fundas,calvinklein,Ip 11 pro,negro,2,
macaron matte_Ip 11 pro_rosa,149,macaron matte_Ip 11 pro_rosa,,,000,Fundas,macaron matte,Ip 11 pro,rosa,1,
macaron matte_Ip 11 pro_negro,150,macaron matte_Ip 11 pro_negro,,,000,Fundas,macaron matte,Ip 11 pro,negro,1,
holster_Ip 11 pro_negro,151,holster_Ip 11 pro_negro,,,000,Fundas,holster,Ip 11 pro,negro,2,
 holter_Ip 11 pro max_negro,152, holter_Ip 11 pro max_negro,,,000,Fundas, holter,Ip 11 pro max,negro,2,
macaron matte_Ip 11 pro max_rosa,153,macaron matte_Ip 11 pro max_rosa,,,000,Fundas,macaron matte,Ip 11 pro max,rosa,1,
macaron matte_Ip 11 pro max_negro,154,macaron matte_Ip 11 pro max_negro,,,000,Fundas,macaron matte,Ip 11 pro max,negro,1,
otter_Ip 11 pro max_negro,155,otter_Ip 11 pro max_negro,,,000,Fundas,otter,Ip 11 pro max,negro,1,
otter_Ip 11 pro max_rosa,156,otter_Ip 11 pro max_rosa,,,000,Fundas,otter,Ip 11 pro max,rosa,1,
magnetica_Ip 11 pro max_roja,157,magnetica_Ip 11 pro max_roja,,,000,Fundas,magnetica,Ip 11 pro max,roja,2,
magnetica_Ip 11 pro max_dorada,158,magnetica_Ip 11 pro max_dorada,,,000,Fundas,magnetica,Ip 11 pro max,dorada,1,
guess_Ip 11 pro max_blanco,159,guess_Ip 11 pro max_blanco,,,000,Fundas,guess,Ip 11 pro max,blanco,2,
calvinklein_Ip 11 pro max_negro,160,calvinklein_Ip 11 pro max_negro,,,000,Fundas,calvinklein,Ip 11 pro max,negro,2,
superstar_Ip 11 pro max_rosa,161,superstar_Ip 11 pro max_rosa,,,000,Fundas,superstar,Ip 11 pro max,rosa,1,
superstar_Ip 11 pro max_negro,162,superstar_Ip 11 pro max_negro,,,000,Fundas,superstar,Ip 11 pro max,negro,1,
alto impacto_Ip 11 pro max_negro,163,alto impacto_Ip 11 pro max_negro,,,000,Fundas,alto impacto,Ip 11 pro max,negro,2,
holster_Ip 12 mini_negro,164,holster_Ip 12 mini_negro,,,000,Fundas,holster,Ip 12 mini,negro,2,
macaron matte_Ip 12 mini_rosa,165,macaron matte_Ip 12 mini_rosa,,,000,Fundas,macaron matte,Ip 12 mini,rosa,1,
macaron matte_Ip 12 mini_negro,166,macaron matte_Ip 12 mini_negro,,,000,Fundas,macaron matte,Ip 12 mini,negro,1,
macaron matte_Ip 12 _negro,167,macaron matte_Ip 12 _negro,,,000,Fundas,macaron matte,Ip 12 ,negro,1,
superstar_Ip 12 _morado,168,superstar_Ip 12 _morado,,,000,Fundas,superstar,Ip 12 ,morado,1,
superstar_Ip 12 _azul,169,superstar_Ip 12 _azul,,,000,Fundas,superstar,Ip 12 ,azul,1,
otter_Ip 12 _rosa,170,otter_Ip 12 _rosa,,,000,Fundas,otter,Ip 12 ,rosa,1,
otter_Ip 12 _negro,171,otter_Ip 12 _negro,,,000,Fundas,otter,Ip 12 ,negro,1,
macaron matte_Ip 12 _rosa,172,macaron matte_Ip 12 _rosa,,,000,Fundas,macaron matte,Ip 12 ,rosa,1,
magsafe transparente_Ip 12 pro max_transparente,173,magsafe transparente_Ip 12 pro max_transparente,,,000,Fundas,magsafe transparente,Ip 12 pro max,transparente,2,
holster_Ip 12 pro max_negro,174,holster_Ip 12 pro max_negro,,,000,Fundas,holster,Ip 12 pro max,negro,2,
superstar_Ip 12 pro max_rosa,175,superstar_Ip 12 pro max_rosa,,,000,Fundas,superstar,Ip 12 pro max,rosa,1,
superstar_Ip 12 pro max_negro,176,superstar_Ip 12 pro max_negro,,,000,Fundas,superstar,Ip 12 pro max,negro,1,
macaron matte_Ip 12 pro max_negro,177,macaron matte_Ip 12 pro max_negro,,,000,Fundas,macaron matte,Ip 12 pro max,negro,1,
macaron matte_Ip 12 pro max_rosa,178,macaron matte_Ip 12 pro max_rosa,,,000,Fundas,macaron matte,Ip 12 pro max,rosa,1,
magsafe transparente_Ip 12 pro  _transparente,179,magsafe transparente_Ip 12 pro  _transparente,,,000,Fundas,magsafe transparente,Ip 12 pro  ,transparente,1,
macaron matte_Ip 12 pro _rosa,180,macaron matte_Ip 12 pro _rosa,,,000,Fundas,macaron matte,Ip 12 pro ,rosa,1,
macaron matte_Ip 12 pro _negro,181,macaron matte_Ip 12 pro _negro,,,000,Fundas,macaron matte,Ip 12 pro ,negro,1,
holster_Ip 12 pro _negro,182,holster_Ip 12 pro _negro,,,000,Fundas,holster,Ip 12 pro ,negro,2,
macaron matte_Ip 13 mini _negro,183,macaron matte_Ip 13 mini _negro,,,000,Fundas,macaron matte,Ip 13 mini ,negro,1,
macaron matte_Ip 13 mini _rosa,184,macaron matte_Ip 13 mini _rosa,,,000,Fundas,macaron matte,Ip 13 mini ,rosa,1,
holster_Ip 13 mini _negro,185,holster_Ip 13 mini _negro,,,000,Fundas,holster,Ip 13 mini ,negro,2,
magsafe transparente_Ip 13 _transparente,186,magsafe transparente_Ip 13 _transparente,,,000,Fundas,magsafe transparente,Ip 13 ,transparente,4,
holster_Ip 13 _negro,187,holster_Ip 13 _negro,,,000,Fundas,holster,Ip 13 ,negro,2,
superstar_Ip 13 _morado,188,superstar_Ip 13 _morado,,,000,Fundas,superstar,Ip 13 ,morado,1,
superstar_Ip 13 _azul,189,superstar_Ip 13 _azul,,,000,Fundas,superstar,Ip 13 ,azul,1,
macaron matte_Ip 13 _rosa,190,macaron matte_Ip 13 _rosa,,,000,Fundas,macaron matte,Ip 13 ,rosa,1,
macaron matte_Ip 13 _negro,191,macaron matte_Ip 13 _negro,,,000,Fundas,macaron matte,Ip 13 ,negro,1,
holster_Ip 13 pro _negro,192,holster_Ip 13 pro _negro,,,000,Fundas,holster,Ip 13 pro ,negro,2,
superstar_Ip 13 pro _rosa,193,superstar_Ip 13 pro _rosa,,,000,Fundas,superstar,Ip 13 pro ,rosa,1,
superstar_Ip 13 pro _negro,194,superstar_Ip 13 pro _negro,,,000,Fundas,superstar,Ip 13 pro ,negro,1,
magsafe transparente_Ip 13 pro _transparente,195,magsafe transparente_Ip 13 pro _transparente,,,000,Fundas,magsafe transparente,Ip 13 pro ,transparente,1,
macaron matte_Ip 13 pro _negro,196,macaron matte_Ip 13 pro _negro,,,000,Fundas,macaron matte,Ip 13 pro ,negro,1,
macaron matte_Ip 13 pro _rosa,197,macaron matte_Ip 13 pro _rosa,,,000,Fundas,macaron matte,Ip 13 pro ,rosa,1,
macaron matte_Ip 13 pro max_rosa,198,macaron matte_Ip 13 pro max_rosa,,,000,Fundas,macaron matte,Ip 13 pro max,rosa,1,
magsafe transparente_Ip 13 pro max_transparente,199,magsafe transparente_Ip 13 pro max_transparente,,,000,Fundas,magsafe transparente,Ip 13 pro max,transparente,3,
superstar_Ip 13 pro max_morado,200,superstar_Ip 13 pro max_morado,,,000,Fundas,superstar,Ip 13 pro max,morado,1,
superstar_Ip 13 pro max_azul,201,superstar_Ip 13 pro max_azul,,,000,Fundas,superstar,Ip 13 pro max,azul,1,
holster_Ip 13 pro max_negro,202,holster_Ip 13 pro max_negro,,,000,Fundas,holster,Ip 13 pro max,negro,2,
magnetica_ip  6g_roja,203,magnetica_ip  6g_roja,,,000,Fundas,magnetica,ip  6g,roja,1,
magnetica_ip 6g_dorada,204,magnetica_ip 6g_dorada,,,000,Fundas,magnetica,ip 6g,dorada,1,
superstar_mt e7i power_negro,205,superstar_mt e7i power_negro,,,000,Fundas,superstar,mt e7i power,negro,1,
superstar_mt e7i power_rosa,206,superstar_mt e7i power_rosa,,,000,Fundas,superstar,mt e7i power,rosa,1,
holster_mt e7 power_negro,207,holster_mt e7 power_negro,,,000,Fundas,holster,mt e7 power,negro,2,
acrilico sencillo_mt e7 power_transparente,208,acrilico sencillo_mt e7 power_transparente,,,000,Fundas,acrilico sencillo,mt e7 power,transparente,2,
holster_mt g7 plus_negro,209,holster_mt g7 plus_negro,,,000,Fundas,holster,mt g7 plus,negro,2,
holster_mt g7 play_negro,210,holster_mt g7 play_negro,,,000,Fundas,holster,mt g7 play,negro,2,
space collection_mt g8 plus_transparente,211,space collection_mt g8 plus_transparente,,,000,Fundas,space collection,mt g8 plus,transparente,1,
magnetica_mt g8 plus_roja,212,magnetica_mt g8 plus_roja,,,000,Fundas,magnetica,mt g8 plus,roja,1,
magnetica_mt g8 plus_dorada,213,magnetica_mt g8 plus_dorada,,,000,Fundas,magnetica,mt g8 plus,dorada,1,
magnetica_mt g8 plus_azul,214,magnetica_mt g8 plus_azul,,,000,Fundas,magnetica,mt g8 plus,azul,1,
magnetica_mt g8 plus_plateada,215,magnetica_mt g8 plus_plateada,,,000,Fundas,magnetica,mt g8 plus,plateada,1,
holster_mt g8 plus_negro,216,holster_mt g8 plus_negro,,,000,Fundas,holster,mt g8 plus,negro,2,
holster_mt e6 play_negro,217,holster_mt e6 play_negro,,,000,Fundas,holster,mt e6 play,negro,2,
holster_mt g60s_negro,218,holster_mt g60s_negro,,,000,Fundas,holster,mt g60s,negro,4,
case colors_mt g60s_morado,219,case colors_mt g60s_morado,,,000,Fundas,case colors,mt g60s,morado,1,
case colors_mt g60s_negro,220,case colors_mt g60s_negro,,,000,Fundas,case colors,mt g60s,negro,1,
superstar_mt g60s_azul,221,superstar_mt g60s_azul,,,000,Fundas,superstar,mt g60s,azul,1,
superstar_mt g60s_rosa,222,superstar_mt g60s_rosa,,,000,Fundas,superstar,mt g60s,rosa,1,
holster_Mt one fusion_negro,223,holster_Mt one fusion_negro,,,000,Fundas,holster,Mt one fusion,negro,1,
acrilico sencillo_moto e7_transparente,224,acrilico sencillo_moto e7_transparente,,,000,Fundas,acrilico sencillo,moto e7,transparente,2,
holster_mt g8 power_negro,225,holster_mt g8 power_negro,,,000,Fundas,holster,mt g8 power,negro,2,
space collection_mt g8 power_transparente,226,space collection_mt g8 power_transparente,,,000,Fundas,space collection,mt g8 power,transparente,2,
holster_mt g8 power lite_negro,227,holster_mt g8 power lite_negro,,,000,Fundas,holster,mt g8 power lite,negro,2,
holster_Mt one vision_negro,228,holster_Mt one vision_negro,,,000,Fundas,holster,Mt one vision,negro,2,
acrilico sencillo_mt g10 _transparente,229,acrilico sencillo_mt g10 _transparente,,,000,Fundas,acrilico sencillo,mt g10 ,transparente,2,
case colors_mt g/10/20/30_azul marino,230,case colors_mt g/10/20/30_azul marino,,,000,Fundas,case colors,mt g/10/20/30,azul marino,1,
case colors_mt g10/20/30_rosa,231,case colors_mt g10/20/30_rosa,,,000,Fundas,case colors,mt g10/20/30,rosa,1,
acrilico sencillo_mt g10/20/30_transparente,232,acrilico sencillo_mt g10/20/30_transparente,,,000,Fundas,acrilico sencillo,mt g10/20/30,transparente,1,
fosfo transparente_mt g10/20/30_colores,233,fosfo transparente_mt g10/20/30_colores,,,000,Fundas,fosfo transparente,mt g10/20/30,colores,2,
holster_mt g7 power_negro,234,holster_mt g7 power_negro,,,000,Fundas,holster,mt g7 power,negro,2,
space collection_mt one fusion_transparente,235,space collection_mt one fusion_transparente,,,000,Fundas,space collection,mt one fusion,transparente,2,
superstar_mt one fusion_rosa,236,superstar_mt one fusion_rosa,,,000,Fundas,superstar,mt one fusion,rosa,2,
holster_mt one fusion_negro,237,holster_mt one fusion_negro,,,000,Fundas,holster,mt one fusion,negro,1,
space collection_mt g60_transparente,238,space collection_mt g60_transparente,,,000,Fundas,space collection,mt g60,transparente,1,
acrilico sencillo_mt g60_transparente,239,acrilico sencillo_mt g60_transparente,,,000,Fundas,acrilico sencillo,mt g60,transparente,1,
space collection_mt g8 _transparente,240,space collection_mt g8 _transparente,,,000,Fundas,space collection,mt g8 ,transparente,1,
acrilico sencillo_mt g50_transparente,241,acrilico sencillo_mt g50_transparente,,,000,Fundas,acrilico sencillo,mt g50,transparente,2,
space collection_mt g9 play_transparente,242,space collection_mt g9 play_transparente,,,000,Fundas,space collection,mt g9 play,transparente,3,
case cute_mt g9 play_gris,243,case cute_mt g9 play_gris,,,000,Fundas,case cute,mt g9 play,gris,2,
case cute_mt g9 play_transparente,244,case cute_mt g9 play_transparente,,,000,Fundas,case cute,mt g9 play,transparente,1,
fosfo transparente_mt g9 play_colores,245,fosfo transparente_mt g9 play_colores,,,000,Fundas,fosfo transparente,mt g9 play,colores,2,
alto impacto_mt g9 play_negro,246,alto impacto_mt g9 play_negro,,,000,Fundas,alto impacto,mt g9 play,negro,1,
holster_mt g9 play_negro,247,holster_mt g9 play_negro,,,000,Fundas,holster,mt g9 play,negro,2,
holster_mt g9 plus_negro,248,holster_mt g9 plus_negro,,,000,Fundas,holster,mt g9 plus,negro,2,
space collection_mt g9 plus_transparente,249,space collection_mt g9 plus_transparente,,,000,Fundas,space collection,mt g9 plus,transparente,2,
alto impacto_mt g9 plus_rojo,250,alto impacto_mt g9 plus_rojo,,,000,Fundas,alto impacto,mt g9 plus,rojo,1,
alto impacto_mt g9 plus_negro,251,alto impacto_mt g9 plus_negro,,,000,Fundas,alto impacto,mt g9 plus,negro,1,
guess_mt g9 plus_negro,252,guess_mt g9 plus_negro,,,000,Fundas,guess,mt g9 plus,negro,2,
calvinklein_mt g9 plus_blanco,253,calvinklein_mt g9 plus_blanco,,,000,Fundas,calvinklein,mt g9 plus,blanco,2,
holster_mt g9 power_negro,254,holster_mt g9 power_negro,,,000,Fundas,holster,mt g9 power,negro,2,
case cute_mt g9 power_rosa,255,case cute_mt g9 power_rosa,,,000,Fundas,case cute,mt g9 power,rosa,1,
case cute_mt g9 power_gris,256,case cute_mt g9 power_gris,,,000,Fundas,case cute,mt g9 power,gris,1,
case cute_mt g9 power_transparente,257,case cute_mt g9 power_transparente,,,000,Fundas,case cute,mt g9 power,transparente,1,
alto impacto_mt g9 power_negro,258,alto impacto_mt g9 power_negro,,,000,Fundas,alto impacto,mt g9 power,negro,1,
alto impacto_mt g9 power_rojo,259,alto impacto_mt g9 power_rojo,,,000,Fundas,alto impacto,mt g9 power,rojo,1,
holster_mt g30_negro,260,holster_mt g30_negro,,,000,Fundas,holster,mt g30,negro,2,
superstar_mt e20_azul,261,superstar_mt e20_azul,,,000,Fundas,superstar,mt e20,azul,1,
superstar_mt e20_morado,262,superstar_mt e20_morado,,,000,Fundas,superstar,mt e20,morado,1,
superstar_mt g50_negro,263,superstar_mt g50_negro,,,000,Fundas,superstar,mt g50,negro,1,
superstar_mt g50_rosa,264,superstar_mt g50_rosa,,,000,Fundas,superstar,mt g50,rosa,1,
case colors_mt g100_amarillo,265,case colors_mt g100_amarillo,,,000,Fundas,case colors,mt g100,amarillo,1,
case colors_mt g100_naranja,266,case colors_mt g100_naranja,,,000,Fundas,case colors,mt g100,naranja,1,
superstar_op a15_azul,267,superstar_op a15_azul,,,000,Fundas,superstar,op a15,azul,1,
superstar_op a15_morado,268,superstar_op a15_morado,,,000,Fundas,superstar,op a15,morado,1,
holster_op a15_negro,269,holster_op a15_negro,,,000,Fundas,holster,op a15,negro,2,
superstar_op a15_negro,270,superstar_op a15_negro,,,000,Fundas,superstar,op a15,negro,1,
superstar_op a12_rosa,271,superstar_op a12_rosa,,,000,Fundas,superstar,op a12,rosa,1,
holster_op a12_negro,272,holster_op a12_negro,,,000,Fundas,holster,op a12,negro,2,
alto impacto_op a12_negro,273,alto impacto_op a12_negro,,,000,Fundas,alto impacto,op a12,negro,1,
